"","ids","dataset.name","NumberOfFeatures","NumberOfInstances","NumberOfClasses","MajorityClassSize","MinorityClassSize","minmaj"
"1",3,"kr-vs-kp",37,3196,2,1669,1527,0.914919113241462
"2",11,"balance-scale",5,625,3,288,49,0.170138888888889
"3",13,"breast-cancer",10,286,2,201,85,0.422885572139304
"4",14,"mfeat-fourier",77,2000,10,200,200,1
"5",15,"breast-w",10,699,2,458,241,0.526200873362445
"6",16,"mfeat-karhunen",65,2000,10,200,200,1
"7",18,"mfeat-morphological",7,2000,10,200,200,1
"8",21,"car",7,1728,4,1210,65,0.0537190082644628
"9",22,"mfeat-zernike",48,2000,10,200,200,1
"10",25,"colic",27,368,2,232,136,0.586206896551724
"11",28,"optdigits",65,5620,10,572,554,0.968531468531469
"12",31,"credit-g",21,1000,2,700,300,0.428571428571429
"13",32,"pendigits",17,10992,10,1144,1055,0.922202797202797
"14",35,"dermatology",35,366,6,112,20,0.178571428571429
"15",36,"segment",20,2310,7,330,330,1
"16",37,"diabetes",9,768,2,500,268,0.536
"17",38,"sick",30,3772,2,3541,231,0.0652358090934764
"18",40,"sonar",61,208,2,111,97,0.873873873873874
"19",43,"haberman",4,306,2,225,81,0.36
"20",44,"spambase",58,4601,2,2788,1813,0.650286944045911
"21",48,"tae",6,151,3,52,49,0.942307692307692
"22",49,"heart-c",14,303,2,165,138,0.836363636363636
"23",50,"tic-tac-toe",10,958,2,626,332,0.530351437699681
"24",53,"heart-statlog",14,270,2,150,120,0.8
"25",54,"vehicle",19,846,4,218,199,0.912844036697248
"26",55,"hepatitis",20,155,2,123,32,0.260162601626016
"27",56,"vote",17,435,2,267,168,0.629213483146067
"28",59,"ionosphere",35,351,2,225,126,0.56
"29",60,"waveform-5000",41,5000,3,1692,1653,0.976950354609929
"30",61,"iris",5,150,3,50,50,1
"31",164,"molecular-biology_promoters",59,106,2,53,53,1
"32",182,"satimage",37,6430,6,1531,625,0.408229915088178
"33",185,"baseball",18,1340,3,1215,57,0.0469135802469136
"34",187,"wine",14,178,3,71,48,0.676056338028169
"35",188,"eucalyptus",20,736,5,214,105,0.490654205607477
"36",292,"Australian",15,690,2,383,307,0.801566579634465
"37",294,"satellite_image",37,6435,0,NA,NA,NA
"38",299,"libras_move",91,360,0,NA,NA,NA
"39",307,"vowel",13,990,11,90,90,1
"40",310,"mammography",7,11183,2,10923,260,0.0238029845280601
"41",311,"oil_spill",50,937,2,896,41,0.0457589285714286
"42",316,"yeast_ml8",117,2417,2,2383,34,0.0142677297524129
"43",329,"hayes-roth",5,160,3,65,31,0.476923076923077
"44",333,"monks-problems-1",7,556,2,278,278,1
"45",334,"monks-problems-2",7,601,2,395,206,0.521518987341772
"46",335,"monks-problems-3",7,554,2,288,266,0.923611111111111
"47",336,"SPECT",23,267,2,212,55,0.259433962264151
"48",338,"grub-damage",9,155,4,49,19,0.387755102040816
"49",377,"synthetic_control",62,600,6,100,100,1
"50",444,"analcatdata_boxing2",4,132,2,71,61,0.859154929577465
"51",448,"analcatdata_boxing1",4,120,2,78,42,0.538461538461538
"52",450,"analcatdata_lawsuit",5,264,2,245,19,0.0775510204081633
"53",451,"irish",6,500,2,278,222,0.798561151079137
"54",452,"analcatdata_broadwaymult",8,285,7,118,21,0.177966101694915
"55",455,"cars",9,406,3,254,73,0.28740157480315
"56",458,"analcatdata_authorship",71,841,4,317,55,0.173501577287066
"57",461,"analcatdata_creditscore",7,100,2,73,27,0.36986301369863
"58",463,"backache",33,180,2,155,25,0.161290322580645
"59",464,"prnn_synth",3,250,2,125,125,1
"60",466,"schizo",15,340,2,177,163,0.92090395480226
"61",469,"analcatdata_dmft",5,797,6,155,123,0.793548387096774
"62",470,"profb",10,672,2,448,224,0.5
