Dataset,Algorithm,CorrelationThreshold,TrueLabel,PredictedLabel,Prob_Defaults,Prob_Tuning
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.16048345870570513,0.8395165412942949
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.23414036797485188,0.7658596320251481
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.40660427169957036,0.5933957283004295
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.18389551265853724,0.8161044873414629
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.17051934131600743,0.8294806586839926
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.46801000624692424,0.5319899937530757
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.040868609477033774,0.9591313905229664
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.17925999631115125,0.8207400036888487
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.11434474003135457,0.8856552599686452
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.21120961317828185,0.7887903868217181
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.22010413488546243,0.7798958651145375
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.27739098696161674,0.7226090130383834
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.16104837672746894,0.8389516232725311
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.16510690156873006,0.83489309843127
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.01365420052110229,0.9863457994788978
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.22194987827255983,0.7780501217274403
Baseline,SVM_Linear,0.8,Defaults,Defaults,0.5867866119753528,0.4132133880246474
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.23351621518018315,0.7664837848198167
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.37243194018940406,0.6275680598105957
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.3198086707130079,0.6801913292869921
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.2771043337548317,0.7228956662451682
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.27122076149903085,0.728779238500969
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.056173743794193265,0.9438262562058067
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.2972039088375109,0.7027960911624893
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.27935764984958955,0.7206423501504106
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.21250411899138846,0.7874958810086117
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.22730363194068612,0.7726963680593139
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.2632250650977081,0.7367749349022918
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.2802042426131372,0.7197957573868627
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.19918204567919182,0.8008179543208083
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.12897008943678703,0.8710299105632128
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.204483323839443,0.7955166761605569
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.3956124625608385,0.6043875374391616
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.24217048825481163,0.7578295117451883
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.11855965500444378,0.8814403449955563
Baseline,SVM_Linear,0.8,Tuning,Defaults,0.5115602726657524,0.48843972733424745
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.18212358868879375,0.8178764113112064
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.33627824615472707,0.6637217538452729
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.23423050871216886,0.7657694912878311
Baseline,SVM_Linear,0.8,Defaults,Defaults,0.5232221558587897,0.47677784414121027
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.31231491236388587,0.6876850876361142
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.01063593345859306,0.9893640665414072
Baseline,SVM_Linear,0.8,Tuning,Defaults,0.6682899938808792,0.331710006119121
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.285407093343587,0.7145929066564128
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.17188212324569607,0.8281178767543036
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.3501909512386728,0.6498090487613273
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.40809643046847094,0.591903569531529
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.14456229326394796,0.8554377067360519
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.28607567181023386,0.7139243281897661
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.13036064063378375,0.8696393593662165
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.34032917404251695,0.6596708259574829
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.18627773505650633,0.8137222649434934
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.20695207704065244,0.7930479229593477
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.29032353279170303,0.7096764672082968
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.38611001759332797,0.6138899824066721
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.385945471772259,0.6140545282277409
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.30221025690206593,0.6977897430979341
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.4063837547518857,0.5936162452481142
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.3596803821411569,0.6403196178588432
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.26918189501576234,0.7308181049842378
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.04922317985004537,0.9507768201499546
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.1901910332810107,0.809808966718989
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.24067069149517206,0.759329308504828
Baseline,SVM_Linear,0.8,Defaults,Defaults,0.5,0.5
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.3274469925410716,0.6725530074589281
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.3627818999406231,0.6372181000593767
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.22199169762423032,0.7780083023757698
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.32154501190213647,0.6784549880978634
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.31790832092080823,0.6820916790791917
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.05310446138082846,0.9468955386191718
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.32034932153733003,0.6796506784626697
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.07003528462822066,0.9299647153717793
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.2368111110413466,0.7631888889586533
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.4881746311285579,0.5118253688714421
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.422831834353907,0.577168165646093
Baseline,SVM_Linear,0.8,Defaults,Defaults,0.5087911898004794,0.4912088101995207
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.48846924770919237,0.5115307522908076
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.27357231764151013,0.7264276823584899
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.2772824325046785,0.7227175674953217
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.2572241269322987,0.7427758730677013
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.32168877221236625,0.6783112277876336
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.3916359421787861,0.608364057821214
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.3526672526935616,0.6473327473064385
Baseline,SVM_Linear,0.8,Defaults,Defaults,0.5165881683216413,0.48341183167835866
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.4577532350228128,0.5422467649771873
Baseline,SVM_Linear,0.8,Tuning,Defaults,0.5661685088348448,0.4338314911651551
Baseline,SVM_Linear,0.8,Defaults,Defaults,0.5,0.5
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.13719347824591496,0.8628065217540852
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.41812300208522785,0.5818769979147723
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.12134029031334834,0.8786597096866516
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.07010340843913976,0.9298965915608604
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.3334039914529311,0.666596008547069
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.28851578769753244,0.7114842123024676
Baseline,SVM_Linear,0.8,Defaults,Tuning,3.0000008999999776e-14,0.9999999999999699
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.15977490589401847,0.8402250941059813
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.11970447382351271,0.8802955261764872
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.2143280619711854,0.7856719380288147
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.415675236404935,0.5843247635950649
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.2482568369384795,0.7517431630615207
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.3894579601680605,0.6105420398319396
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.20088772043082953,0.7991122795691705
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.1895174140914904,0.8104825859085095
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.30100204391358454,0.6989979560864155
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.38129824081378355,0.6187017591862165
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.11642666475018697,0.8835733352498132
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.08489208622014234,0.9151079137798578
Baseline,SVM_Linear,0.8,Tuning,Defaults,0.573344291378543,0.4266557086214571
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.11167912832546108,0.888320871674539
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.2798481778689705,0.7201518221310295
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.35904290155344787,0.6409570984465522
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.07282150111011206,0.9271784988898881
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.12025816072624675,0.8797418392737534
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.049813089085040875,0.9501869109149591
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.2001757380081999,0.7998242619918002
