dataset,Class,simple.classes,simple.attributes,simple.numeric,simple.nominal,simple.samples,simple.dimensionality,simple.numeric_rate,simple.nominal_rate,simple.symbols_min,simple.symbols_max,simple.symbols_mean,simple.symbols_sd,simple.symbols_sum,simple.class_prob_min,simple.class_prob_max,simple.class_prob_mean,simple.class_prob_sd,statistical.skewness,statistical.skewness_prep,statistical.kurtosis,statistical.kurtosis_prep,statistical.abs_cor,statistical.cancor_1,statistical.fract_1,inftheo.class_entropy,inftheo.normalized_class_entropy,inftheo.attribute_entropy,inftheo.normalized_attribute_entropy,inftheo.joint_entropy,inftheo.mutual_information,inftheo.equivalent_attributes,inftheo.noise_signal_ratio,modelbased.nodes,modelbased.leaves,modelbased.nodes_per_attribute,modelbased.nodes_per_instance,modelbased.leaf_corrobation,modelbased.level_min,modelbased.level_max,modelbased.level_mean,modelbased.level_sd,modelbased.branch_min,modelbased.branch_max,modelbased.branch_mean,modelbased.branch_sd,modelbased.attribute_min,modelbased.attribute_max,modelbased.attribute_mean,modelbased.attribute_sd,landmarking.naive_bayes,landmarking.stump_min,landmarking.stump_max,landmarking.stump_mean,landmarking.stump_sd,landmarking.stump_min_gain,landmarking.stump_random,landmarking.nn_1,f1,f1v,f2,f3,f4,l1,l2,l3,n1,n2,n3,n4,t1,t2,edges,degree,density,maxComp,closeness,betweenness,clsCoef,hubs,avgPath,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_w_interact.coef_min,ela_meta.lin_w_interact.coef_max,ela_meta.quad_simple.adj_r2,ela_disp.ratio_mean_02,ela_disp.ratio_median_02,ela_disp.diff_mean_02,ela_disp.dist_all_mean,ela_ic.h_max,ela_ic.eps_s,ela_ic.eps_ratio,ela_ic.h_zero,ela_ic.m0,ela_cm.mean_ofs_10,ela_cm.sd_ofs_10,ela_cm.n_cells,ela_cm.coverage,ela_lc.r_pearson_dist_centroid,ela_lc.r_pearson_nn,ela_lc.y_std,ela_lc.y_skewness,ela_lc.y_kurtosis,nbc.nn_nb.dist.ratio.mean,nbc.nn_nb.dist.ratio.sd,nbc.nb.fitness.ratio.mean,nbc.nb.fitness.ratio.sd,nbc.n_candidates,nbc.dist.ratio.coeff_var,fdc.r,fdc.p_value,fdc.dist.mean,fdc.dist.sd,fdc.slope,gh.mean,gh.sd,gh.norm.mean,gh.norm.sd,gh.angle.mean,gh.neg_ratio,ls.mean,ls.min,ls.max,ls.ratio,ls.log_mean,ls.lml,sample.n,sample.y_min,sample.y_max,sample.y_mean
1037_ada_prior,Tuning,2.0,14.0,6.0,8.0,4562.0,0.003069,0.428571,0.571429,2.0,39.0,10.888889,11.580635,98.0,0.248137,0.751863,0.5,0.356188,3.304282,13.855256,57.613233,390.196049,0.184244,0.609164,1.0,0.560279,0.808312,1.300331,0.498574,1.2347,0.04622,12.122069,27.133671,7.0,8.0,0.5,0.001534,0.125,2.0,4.0,3.5,1.0,3.0,5.0,4.25,0.886405,0.0,3.0,0.5,0.85485,0.821131,0.751863,0.792416,0.75584,0.011272,0.751863,0.751863,0.767646,0.365,3.302,0.267,0.026,0.04,0.781,0.196,0.389,0.326,0.603,0.231,0.271,0.996,325.857,1137615.0,498.735204,0.109348,3430.0,0.0,4534.469531,0.202783,0.786903,4.324817,0.5474536068046802,0.21054538764862,-0.0213703415907439,0.0186888063043636,0.7660288076326441,1.4528120706763574,1.3944248321115558,4.592518735913808,15.60387502878943,2.035435030662306,0.001,499.9999995,1.9393970721259652,0.5607186906230208,0.3146245653832256,0.0380522977442295,25.0,1.0,-0.0166499115851079,0.9984762758476936,0.332228552152294,1.2759223801110369,-0.0789380472959968,77.95122168870132,176.48559849987362,0.8869149468470168,0.1002195527157057,6.666666666666667e-05,2.264051732308541,-0.0969497234358578,1.449721813336901e-63,16.068543106638753,7.355293728390917,-0.0043791297670912,0.0105789990816533,0.3184523565395598,0.066973311730492,0.11988722940153,74.2461645780123,0.2189333333333333,2.964956606729298,0.8247788880655063,5.10513432539309,6.18970053581371,0.4720183416815671,-110.05724663012715,30000.0,0.498542274052478,0.768105969737242,0.5555292019982596
1043_ada_agnostic,Tuning,2.0,47.0,47.0,0.0,4562.0,0.010302,1.0,0.0,2.0,2.0,2.0,0.0,2.0,0.248137,0.751863,0.5,0.356188,6.494871,6.494871,158.014522,158.014522,0.054273,0.597873,1.0,0.560279,0.808312,0.417184,0.09887,0.560279,0.014956,37.462413,26.894542,5.0,6.0,0.106383,0.001096,0.166667,2.0,4.0,2.5,1.0,3.0,5.0,3.833333,0.983192,0.0,2.0,0.106383,0.374981,0.680842,0.751863,0.792416,0.753108,0.00627,0.751863,0.751863,0.770715,0.693,2.976,0.0,0.026,0.046,0.988,0.178,0.248,0.328,0.485,0.229,0.25,0.998,97.064,1507931.0,661.083297,0.144943,3430.0,0.0,1320.599079,0.280013,0.595926,1.941041,0.5407523101705337,0.2269018073238234,-0.0218160832815181,0.0200713523455415,0.7485782437039319,1.4576187920402737,1.3999696830262174,4.651322591355365,15.601169165331752,2.0439520707626033,0.001,499.9999995,1.9250249303572713,0.5547184906163539,0.3287243959358661,0.0387082504654973,25.0,1.0,-0.0702406751995137,0.9984637982858916,0.3488824899780939,1.1561539418584583,-0.4136663532597393,72.14660715982016,163.98174348946048,0.8620100692825665,0.1115608860574749,3.3333333333333335e-05,2.272896120065682,0.246792219322832,0.0,12.45572763763691,5.270261374545014,0.0163373872725136,0.0088431558258881,0.3216523976891269,0.0709851020222513,0.1305897216250334,74.03910079462256,0.2645666666666666,4.37098457085005,2.938961792290366,5.803007349409734,1.9745092857724464,0.640579273475222,93.36741989928971,30000.0,0.498541958936623,0.772032814857485,0.5611535100631267
1048_jEdit_4.2_4.3,Defaults,2.0,8.0,8.0,0.0,369.0,0.02168,1.0,0.0,2.0,2.0,2.0,0.0,2.0,0.447154,0.552846,0.5,0.074735,3.699077,3.699077,29.002704,29.002704,0.29935,0.340004,1.0,0.687551,0.991927,0.694714,0.235941,0.687551,0.019753,34.808049,34.170662,6.0,7.0,0.75,0.01626,0.142857,2.0,4.0,2.4,0.894427,2.0,6.0,4.428571,1.397276,0.0,3.0,0.75,1.164965,0.539295,0.566396,0.631436,0.60332,0.021822,0.566396,0.604336,0.688347,0.156,0.566,0.004,0.049,0.079,0.876,0.447,0.5,0.542,0.777,0.312,0.411,0.995,46.125,7005.0,37.96748,0.103172,204.0,1.5e-05,213.124661,0.189859,0.759316,2.967594,0.4869040850154396,0.2473969333988752,-0.0070229512407303,0.0166930227431573,0.6543701910307063,1.165917082300194,1.1226399334626629,1.9220641884505072,15.639520927555113,2.361246183619143,0.01,49.999999995,2.1924836823310248,0.4784159471982399,0.1987806980931503,0.0221338476520951,25.0,1.0,-0.2650932392148524,0.9190297255439988,0.2248823525051971,0.8498732194940203,-0.8271808348824683,54.19710150143419,164.06586547350312,0.757850969122225,0.1889914907151207,3.3333333333333335e-05,3.0272073769324823,-0.4880381349064588,0.0,15.556420904858768,7.139888569895869,-0.0153714934981115,0.0005897210806292,0.3862412555169646,0.3191664115654986,0.5477717160646055,76.81481138820891,0.2626666666666666,1.4878149550732986,1.1441934566765877,1.8314364534700096,1.6006353145804386,0.1725489197935231,-180.91141956472725,30000.0,0.484275677484108,0.695407466265195,0.5368438394870699
1049_pc4,Tuning,2.0,37.0,37.0,0.0,1458.0,0.025377,1.0,0.0,2.0,2.0,2.0,0.0,2.0,0.122085,0.877915,0.5,0.534452,4.278449,4.278449,46.50384,46.50384,0.3649,0.568092,1.0,0.371059,0.535325,0.675501,0.1857,0.371059,0.014632,25.3587,45.164711,21.0,22.0,0.567568,0.014403,0.045455,2.0,6.0,3.5,1.732051,2.0,13.0,8.318182,3.137885,0.0,3.0,0.567568,0.834684,0.879287,0.877915,0.877915,0.877915,0.0,0.877915,0.877915,0.874486,0.592,5.899,0.0,0.123,0.349,0.265,0.122,0.5,0.197,0.446,0.126,0.287,0.998,39.405,157182.0,215.613169,0.147984,1280.0,3e-06,1728.109053,0.24485,0.779664,4.031724,0.4394076879758155,0.1413769741998195,-0.0118908092656433,0.014551060252187,0.6623774221585875,1.6266781834738384,1.585426810143007,5.75581368932591,15.64657917703875,2.276868387311106,0.001,499.9999995,2.266732115181725,0.5664188806293543,0.2273348716218868,0.0313237485375045,25.0,1.0,0.0247364246997953,0.9910974170526936,0.2439953602973789,1.7201049076848078,1.341297090193554,76.62263859721106,191.97531485067853,0.8523433590367883,0.1258175363889944,6.666666666666667e-05,2.5054646820484674,-0.4541738301690006,0.0,17.53931618938924,7.577128784595151,-0.0146252686788794,0.0017203676767731,0.3644070124831852,0.0935361135316042,0.1919182953621441,76.44912397433035,0.2322333333333333,3.6185584274257945,2.6227006333234626,4.614416221528127,1.75941400360247,0.5585355893993226,11.406624487305322,30000.0,0.495715642382309,0.78696515922931,0.5365553848713597
1050_pc3,Tuning,2.0,37.0,37.0,0.0,1563.0,0.023672,1.0,0.0,2.0,2.0,2.0,0.0,2.0,0.102367,0.897633,0.5,0.562338,6.428958,6.428958,124.244943,124.244943,0.419897,0.444716,1.0,0.330253,0.476455,0.566095,0.15346,0.330253,0.009452,34.941598,58.894161,21.0,22.0,0.567568,0.013436,0.045455,2.0,6.0,3.818182,1.88776,3.0,12.0,7.181818,2.575274,0.0,4.0,0.567568,0.834684,0.458093,0.897633,0.897633,0.897633,0.0,0.897633,0.897633,0.873321,0.505,0.417,0.0,0.065,0.137,0.205,0.102,0.5,0.193,0.489,0.128,0.363,1.0,42.243,186830.0,239.065899,0.153051,1403.0,4e-06,1932.414587,0.259441,0.777148,4.042278,0.236511753779365,0.0969346774655647,-0.0046617832772323,0.0078114787107757,0.3979489861943116,0.5393008542416584,0.503740488779402,-7.194711166478346,15.646981477492249,2.1692652915446855,0.001,499.9999995,2.121915157275588,0.5733857795259842,0.1416180625677806,0.0253722088625968,25.0,1.0,-0.0056579650389834,0.953263433680808,0.1624951584167205,2.789838893160495,6.910209117902879,69.76786948936638,185.0971739320383,0.8542826254754171,0.1316596381346743,0.0001,2.6530432316017207,-0.2822807829765783,0.0,12.001775710213597,4.85484954858247,-0.0094482342686681,0.0001292309150802,0.3332158077411266,0.1163602146174412,0.2968111165148043,78.75979389262122,0.2288333333333333,2.6516600540029085,1.6548938909909168,3.6484262170149,2.204628488191525,0.423517846228421,-100.48785267768456,30000.0,0.494386873920553,0.652641477151502,0.5096457226838086
1054_mc2,Tuning,2.0,39.0,39.0,0.0,161.0,0.242236,1.0,0.0,2.0,2.0,2.0,0.0,2.0,0.322981,0.677019,0.5,0.250342,2.327212,2.327212,11.197692,11.197692,0.507705,0.635978,1.0,0.629096,0.907594,0.720494,0.2809,0.629096,0.03882,16.205318,17.559686,7.0,8.0,0.179487,0.043478,0.125,2.0,2.0,2.0,0.0,2.0,8.0,5.375,2.263846,0.0,1.0,0.179487,0.388776,0.73913,0.677019,0.757764,0.711897,0.029015,0.677019,0.708075,0.695652,0.295,6.46,1e-06,0.161,0.988,0.609,0.292,0.478,0.509,0.772,0.311,0.273,1.0,4.128,1473.0,18.298137,0.114363,109.0,9.5e-05,132.509317,0.184703,0.779501,3.876147,0.3987893815973247,0.3257311402291003,-0.0072562208843623,0.0065831383465469,0.6167337623584871,0.5523660690726991,0.5476313525053919,-6.945300508610789,15.697220922452244,2.3212604032642266,0.0001,4999.99995,2.3205978747738683,0.5720524017467249,0.1196410153183309,0.015808118385127,25.0,1.0,0.090261431591068,0.8640984231725155,0.1348965890970416,2.035540713736246,3.0818034504546308,63.76008170900131,131.3942176773922,0.9159437331000684,0.0906275309632455,3.3333333333333335e-05,2.060759869742146,-0.3274838640230758,0.0,12.316132882787429,5.14173550506105,-0.0085910474616187,0.0001142755419134,0.3743211815063177,0.196829151594176,0.4100912177055703,77.68428680852179,0.2599333333333333,1.4021150072135526,0.9369446392190212,1.867285375208084,1.992951661223596,0.1467836377035176,-211.1440155693549,30000.0,0.415658602150538,0.733378136200717,0.5192147744922342
1056_mc1,Tuning,2.0,38.0,38.0,0.0,9466.0,0.004014,1.0,0.0,2.0,2.0,2.0,0.0,2.0,0.007184,0.992816,0.5,0.696948,11.008148,11.008148,445.882156,445.882156,0.452292,0.358243,1.0,0.042616,0.061481,0.425107,0.092925,0.042616,0.004162,10.238068,101.128397,8.0,9.0,0.210526,0.000845,0.111111,2.0,4.0,2.285714,0.755929,2.0,8.0,5.333333,2.061553,0.0,2.0,0.210526,0.474079,0.938306,0.992816,0.992816,0.992816,0.0,0.992816,0.992816,0.99419,1.738,10.56,0.0,0.535,0.631,0.015,0.007,0.5,0.014,0.021,0.008,0.378,0.999,249.105,9145460.0,1932.275512,0.20415,9398.0,1e-06,8704.553349,0.412297,0.750416,2.865985,0.2161697500820728,0.0739438796649783,-0.0027248436767035,0.0049810290466742,0.3715441341823222,0.5291318512449982,0.5171739355237073,-7.294010865793373,15.669740490412774,2.166026954227669,0.001,499.9999995,2.1520631700599098,0.5892196406546885,0.0841728944498291,0.0152920445273522,25.0,1.0,-0.0371601194345281,0.7740627470375113,0.1061056693101414,3.188359890783263,11.18154411779797,71.6944149316996,146.0100789956247,0.8223669731401348,0.2012680293048284,0.0001,2.036561413252631,-0.5391547845048157,0.0,18.043244679221143,8.048716251882784,-0.007107701413838,3.970245514072166e-05,0.3316874729874645,0.1735064843345397,0.4358538993685161,78.81966236245783,0.2337,1.455966742739094,1.0511214445567958,1.8608120409213924,1.7703111762734811,0.1631514549156049,-210.247190290529,30000.0,0.494077834179357,0.663700935274539,0.5065905064572577
1061_ar4,Defaults,2.0,29.0,29.0,0.0,107.0,0.271028,1.0,0.0,2.0,2.0,2.0,0.0,2.0,0.186916,0.813084,0.5,0.442768,2.632114,2.632114,14.16589,14.16589,0.542723,0.716624,1.0,0.48172,0.694975,0.508659,0.220908,0.48172,0.069946,6.887068,6.272207,1.0,2.0,0.034483,0.009346,0.5,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.034483,0.185695,0.859813,0.813084,0.878505,0.851112,0.027918,0.813084,0.813084,0.766355,0.974,7.332,0.0,0.439,0.981,0.409,0.178,0.5,0.336,0.731,0.234,0.257,0.991,3.69,800.0,14.953271,0.141069,87.0,0.000346,105.056075,0.231281,0.771435,3.977279,0.3640478598571791,0.2636370454001221,-0.0075042358676336,0.0072733890080473,0.564945137112312,2.016633863361571,1.9975694526676004,7.555009822346523,15.6684162978934,1.4523398026463492,0.01,49.999999995,1.4268265155833242,0.7630587686256208,0.1307423092250038,0.0174905720630358,25.0,1.0,0.0941721392789893,0.8652157962304222,0.1504128003511729,2.182949424517036,3.6078090667328873,121.47652717278568,236.33244091925008,0.8780067475313498,0.0941734053314925,3.3333333333333335e-05,1.9454988253252732,-0.3666528339581695,0.0,12.328037311776994,5.199954185054222,-0.0106053573308891,6.896412828868248e-05,0.1844447409367598,0.1920594163040959,0.4537638058498243,84.16022707391235,0.1259666666666666,1.530456481752554,0.8147755969877863,2.2461373665173214,2.7567558169617525,0.1848209850258093,-203.45711673982967,30000.0,0.43019943019943,0.783000949667616,0.5232513691041469
1063_kc2,Defaults,2.0,21.0,21.0,0.0,522.0,0.04023,1.0,0.0,2.0,2.0,2.0,0.0,2.0,0.204981,0.795019,0.5,0.41722,4.42648,4.42648,32.985683,32.985683,0.742975,0.598582,1.0,0.50723,0.731779,0.304279,0.097043,0.50723,0.041356,12.265086,6.357616,7.0,8.0,0.333333,0.01341,0.125,2.0,4.0,2.8,1.095445,2.0,6.0,4.625,1.30247,0.0,2.0,0.333333,0.658281,0.837165,0.795019,0.854406,0.82859,0.018381,0.795019,0.795019,0.808429,0.85,6.758,0.0,0.042,0.151,0.42,0.197,0.492,0.289,0.75,0.192,0.241,1.0,24.857,21570.0,82.643678,0.158625,415.0,1.5e-05,397.047893,0.269719,0.767708,3.334102,0.446656200522492,0.2593748831827601,-0.0121985463855827,0.0114659024278756,0.6527243625023293,0.4405513374878522,0.4372827806522109,-8.569660594510319,15.655763694622076,2.390026395536823,0.01,49.999999995,2.3309234855223675,0.4835161172039068,0.19694152162793,0.0232870097143613,25.0,1.0,-0.1377733811090141,0.961083557038992,0.217175276336205,1.21346683876616,-0.2221668194785269,56.73910566575869,186.6052901731572,0.8972130100031718,0.0949682752913588,3.3333333333333335e-05,3.288830304665302,-0.341428425262484,0.0,12.564818828946716,5.42458338638745,-0.0136691202811534,0.0001770791415363,0.3960829635149121,0.191299814122843,0.3453180905489497,76.32466794036623,0.2732333333333333,1.782828667452487,1.2971453895993896,2.268511945305584,1.7488494069307392,0.2511096088204443,-133.16477338310423,30000.0,0.462759690694278,0.737834776981282,0.5341641183653038
1064_ar6,Tuning,2.0,29.0,29.0,0.0,101.0,0.287129,1.0,0.0,2.0,2.0,2.0,0.0,2.0,0.148515,0.851485,0.5,0.497075,1.583703,1.583703,5.716994,5.716994,0.50794,0.693683,1.0,0.420124,0.606111,0.649516,0.282081,0.420124,0.028968,14.503265,21.422194,1.0,2.0,0.034483,0.009901,0.5,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.034483,0.185695,0.871287,0.851485,0.881188,0.854216,0.007893,0.851485,0.851485,0.841584,0.53,20.095,0.0,0.218,0.99,0.29,0.149,0.5,0.267,0.589,0.158,0.252,0.921,3.483,753.0,14.910891,0.149109,86.0,0.00048,100.247525,0.23928,0.748891,3.763064,0.240631080421475,0.2938080694378738,-0.004116744078226,0.0037016357132119,0.4090672899562348,2.2054570166206946,2.2114813680855328,8.301063481571035,15.696682150645309,1.5356354854405736,0.01,49.999999995,1.525903902443417,0.75989199639988,0.0717312096755488,0.0120532841245844,25.0,1.0,0.1319341028087689,0.6479395099494096,0.098249072633369,2.87660483517975,8.873711409830419,105.60657173191474,190.87774263379913,0.8876269169818752,0.1195293876831487,3.3333333333333335e-05,1.8074418997176225,-0.4464206050769974,0.0,15.45996435527602,7.209013280770895,-0.0060833019098983,-1.5258925710995451e-06,0.2015299588295237,0.1996960233655701,0.5109574804299013,83.37983171393397,0.1421333333333333,1.716447457741705,0.7896091539937572,2.6432857614896528,3.3475875350695383,0.2346305137555585,-239.6439930458726,30000.0,0.398550724637681,0.786594202898551,0.5125540720611916
